LINK_ID	EVENT_GROUP_ID	SOURCE_CHROMOSOME	SOURCE_START	SOURCE_STOP	TARGET_CHROMOSOME	TARGET_START	TARGET_STOP	LINK_TYPE	EVIDENCE
1	TXG001	chr9	133700000	133701000	chr22	23200000	23201000	TRANSLOCATION	t(9;22)(q34;q11.2)
2	TXG002	chr1	12000000	12001500	chr7	55000000	55002000	TRANSLOCATION	t(1;7)(p36;q31)
3	TXG003	chr2	89100000	89101800	chr12	25300000	25301600	TRANSLOCATION	t(2;12)(q21;p13)
4	TXG004	chr3	45120000	45122500	chr8	128700000	128702200	TRANSLOCATION	t(3;8)(p21;q24)
5	TXG005	chr4	99000000	99001750	chr11	67400000	67401900	TRANSLOCATION	t(4;11)(q31;q23)
6	TXG006	chr5	70000000	70003000	chr14	106200000	106202000	TRANSLOCATION	t(5;14)(q13;q32)
7	TXG007	chr6	32500000	32501800	chr17	43000000	43001800	TRANSLOCATION	t(6;17)(p21;q21)
8	TXG008	chr7	140500000	140502100	chr10	81100000	81102100	TRANSLOCATION	t(7;10)(q34;q22)
9	TXG009	chr8	118000000	118002500	chr21	36000000	36001700	TRANSLOCATION	t(8;21)(q22;q22)
10	TXG010	chr9	21900000	21902000	chr15	61000000	61001800	TRANSLOCATION	t(9;15)(p21;q21)
11	TXG011	chr10	33000000	33001400	chr20	45800000	45801600	TRANSLOCATION	t(10;20)(p11;q13)
12	TXG012	chr11	118900000	118902400	chr19	55600000	55601800	TRANSLOCATION	t(11;19)(q23;p13)
13	TXG013	chr12	69300000	69302000	chr18	24000000	24001500	TRANSLOCATION	t(12;18)(q15;q11)
14	TXG014	chr13	48000000	48001600	chr3	178000000	178002000	TRANSLOCATION	t(13;3)(q14;q26)
15	TXG015	chr14	75500000	75502200	chr5	150400000	150402500	TRANSLOCATION	t(14;5)(q24;q33)
16	TXG016	chr15	42000000	42001800	chr1	161000000	161002100	TRANSLOCATION	t(15;1)(q15;q23)
17	TXG017	chr16	66600000	66601800	chr2	130900000	130902000	TRANSLOCATION	t(16;2)(q22;q31)
